ICAO;Type;ICAO-Type;W;C;AWC;Model
;;;;;;LMAASA, IA-63 Pampa
;;;;;;LMAASA, Pampa
IFUR;Fixed-wing;1P/S;Light;F;I;ISAACS, Fury
;;;;;;AVIA (2), Av-14
IL14;Fixed-wing;2P/S+;Medium;F;III;ILYUSHIN, Il-14
;;;;;;VEB, Il-14
;;;;;;ILYUSHIN, Bizon
;;;;;;ILYUSHIN, Il-18
;;;;;;ILYUSHIN, Il-18 Bizon
IL18;Fixed-wing;4T/L;Medium;D;III;ILYUSHIN, Il-20
;;;;;;ILYUSHIN, Il-22 Zebra
;;;;;;ILYUSHIN, Il-24
;;;;;;ILYUSHIN, Zebra
;;;;;;HARBIN, H-5
IL28;Fixed-wing;2J/L;Medium;E;III;HARBIN, HJ-5 HARBIN, HZ-5
;;;;;;ILYUSHIN, Il-28
IL38;Fixed-wing;4T/L;Medium;D;III;ILYUSHIN, Il-38
IL62;Fixed-wing;4J/H;Heavy;C;III;ILYUSHIN, Il-62
;;;;;;ILYUSHIN, Gajaraj
;;;;;;ILYUSHIN, Il-76
IL76;Fixed-wing;4J/H;Heavy;C;III;ILYUSHIN, Il-76 Gajaraj
;;;;;;ILYUSHIN, Il-78
;;;;;;ILYUSHIN, Il-82
IL86;Fixed-wing;4J/H;Heavy;C;III;ILYUSHIN, Il-86 ILYUSHIN, Il-87
IL96;Fixed-wing;4J/H;Heavy;B;III;ILYUSHIN, Il-96
;;;;;;IMPULSE, Impulse
IMPU;Fixed-wing;1P/S;Light;F;I;IMPULSE, Xcite
;;;;;;IMPULSE, Xturn
INCQ;Fixed-wing;1P/S;Light;F;I;INPAER, Conquest
INEC;Fixed-wing;1P/S;Light;F;I;INPAER, Excel
INEX;Fixed-wing;1P/S;Light;F;I;INPAER, Explorer
ION;Fixed-wing;1P/S;Light;F;I;ION, Ion
IP06;Fixed-wing;1P/S;Light;F;I;IPE, Curucaca IPE, IPE-06 Curucaca
IP10;Fixed-wing;1P/S;Light;F;I;IPE, IPE-010
IP26;Fixed-wing;1P/S;Light;F;I;IPAI, IPAI-26 Tuca IPAI, Tuca
IP6A;Fixed-wing;1P/S;Light;F;I;IPE, IPE-06A
;;;;;;EMBRAER, EMB-200 Ipanema
;;;;;;EMBRAER, EMB-201 Ipanema
;;;;;;EMBRAER, EMB-202 Ipanema
;;;;;;EMBRAER, Ipanema
IPAN;Fixed-wing;1P/S;Light;F;I;EMBRAER, U-19 Ipanema
;;;;;;NEIVA, EMB-201 Ipanema
;;;;;;NEIVA, EMB-202 Ipanema
;;;;;;NEIVA, G-19 Ipanema
;;;;;;NEIVA, Ipanema
IR21;Fixed-wing;1P/S;Light;F;I;ICA, IAR-821
IR22;Fixed-wing;1P/S;Light;F;I;ICA, IAR-822 ICA, IAR-826
IR23;Fixed-wing;1P/S;Light;F;I;ICA, IAR-823
IR24;Fixed-wing;1P/S;Light;F;I;ICA, IAR-824
IR25;Fixed-wing;1T/S;Light;F;I;ICA, IAR-825TP Triumf ICA, Triumf
;;;;;;BUCURESTI, Dacic
IR27;Fixed-wing;1P/S;Light;F;I;BUCURESTI, IAR-827 Dacic ICA, Dacic
;;;;;;ICA, IAR-827 Dacic
IR28;Fixed-wing;1P/S;Light;F;I;ICA, IAR-28MA ICA, IS-28MA
IR31;Fixed-wing;1P/S;Light;F;I;ICA, IAR-831 Pelican ICA, Pelican
IR46;Fixed-wing;1P/S;Light;F;I;IAR, IAR-46 Katty IAR, Katty
;;;;;;AVIOANE, IAR-109 Swift
;;;;;;AVIOANE, IAR-99 Soim
IR99*;Fixed-wing;1J/S;Light;F;III;AVIOANE, Soim AVIOANE, Swift
;;;;;;CRAIOVA, IAR-99 Soim
;;;;;;CRAIOVA, Soim
IS2;Helicopter;1P/S;Light;F;I;INSTYTUT LOTNICTWA, IS-2
IS28;Fixed-wing;1P/S;Light;F;I;IAR, IS-28M2 ICA, IS-28M2
ISAT;Fixed-wing;1P/S;Light;F;I;AEROJAMES, 01 Isatis AEROJAMES, Isatis
ISPT;Fixed-wing;1P/S;Light;F;I;ISAACS, Spitfire
;;;;;;AUSTER, Aiglet
;;;;;;AUSTER, Alpha
;;;;;;AUSTER, Autocrat
;;;;;;AUSTER, J-1 Aiglet
;;;;;;AUSTER, J-1 Alpha
J1;Fixed-wing;1P/S;Light;F;I;AUSTER, J-1 Autocrat AUSTER, J-1 Kingsland
;;;;;;AUSTER, J-1 Workmaster
;;;;;;AUSTER, Kingsland
;;;;;;AUSTER, Workmaster
;;;;;;TAYLORCRAFT (2), Autocrat
;;;;;;TAYLORCRAFT (2), J-1 Autocrat
J10*;Fixed-wing;1J/S+;Medium;F;III;
;;;;;;
;;;;;;
J177;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
J2;Fixed-wing;1P/S;Light;F;I;1
;;;;;;
J20*;Fixed-wing;2J/L;J-20;E;III;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
J3;Fixed-wing;1P/S;Light;F;I;1
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
J300;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
J328;Fixed-wing;2J/S+;Medium;F;III;6
;;;;;;
;;;;;;
J4;Fixed-wing;1P/S;Light;F;I;1
J4B2;Gyrocopter;1P/S;Light;F;I;
;;;;;;
J5;Fixed-wing;1P/S;Light;F;I;1
;;;;;;
J728;Fixed-wing;2J/L;Medium;E;III;
;;;;;;
J8A*;Fixed-wing;2J/S+;Medium;F;III;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
J8B*;Fixed-wing;2J/S+;Medium;F;III;
;;;;;;
;;;;;;
;;;;;;
JAB2;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
JAB4;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
JABI;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
JACE;Fixed-wing;1P/S;Light;F;I;
;;;;;;
JAG2;Helicopter;1T/S;Light;F;I;
;;;;;;
JAGR*;Fixed-wing;2J/S+;Medium;F;III;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
JAJ5;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
JAJ6;Fixed-wing;1P/S;Light;F;I;
;;;;;;
JANU;Fixed-wing;1P/S;Light;F;I;
;;;;;;
JARO;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
JAST*;Fixed-wing;1J/S;Light;F;III;
;;;;;;
;;;;;;
;;;;;;
JB1;@Fixed-wing;1P/S;Light;F;I;
JB15;Fixed-wing;1P/S;Light;F;I;
JC01;Fixed-wing;1P/S;Light;F;I;
JC02;Fixed-wing;1P/S;Light;F;I;
;;;;;;
JCOM;Fixed-wing;2J/S+;Medium;F;III;9
;;;;;;
JCRU;Fixed-wing;1T/S;Light;F;I;
JD2;Fixed-wing;1P/S;Light;F;I;
JDOE;Fixed-wing;1P/S;Light;F;I;
JE2;Gyrocopter;1P/S;Light;F;I;
JFOX;Fixed-wing;1P/S;Light;F;I;
;;;;;;
JH7*;Fixed-wing;2J/L;Medium;E;III;
;;;;;;
;;;;;;
;;;;;;
JK05;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
JL9*;Fixed-wing;1J/S+;Medium;F;III;
;;;;;;
;;;;;;
JN76;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
JPM1;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
JPRO*;Fixed-wing;1J/S+;Light;F;III;
;;;;;;
;;;;;;
JRC1;Fixed-wing;1P/S;Light;F;I;
;;;;;;
JS1;Fixed-wing;2T/S+;Light;F;III;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
JS20;Fixed-wing;2T/S;Light;F;II;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
JS3;Fixed-wing;2T/S;Light;F;II;
JS31;Fixed-wing;2T/S+;Light/ Medium;F;III;5
;;;;;;
JS32;Fixed-wing;2T/S+;Medium;F;III;5
;;;;;;
;;;;;;
;;;;;;
JS41;Fixed-wing;2T/S+;Medium;F;III;7
;;;;;;
;;;;;;
;;;;;;
JSQA*;Fixed-wing;1J/S;Light;F;III;
;;;;;;
JT2;Fixed-wing;1P/S;Light;F;I;
JU52;Fixed-wing;3P/S+;Medium;F;III;
JUN1;Fixed-wing;1P/S;Light;F;I;KAMINSKAS, Jungster 1 KAMINSKAS, RK-1 Jungster 1
JUN2;Fixed-wing;1P/S;Light;F;I;KAMINSKAS, Jungster 2 KAMINSKAS, RK-2 Jungster 2
;;;;;;ANDREASSON, BA-7
;;;;;;ANDREASSON, MFI-9
JUNR;Fixed-wing;1P/S;Light;F;I;BOLKOW, BO-208 Junior BOLKOW, Junior
;;;;;;MALMO, Junior
;;;;;;MALMO, MFI-9 Junior
JUPI;Fixed-wing;1P/S;Light;F;I;LAMMER GEYER, Jupiter
K126;Helicopter;1T/S;Light;F;I;ICA, Ka-126 KAMOV, Ka-126
K209;Helicopter;1T/S;Light;F;I;FAMA, K-209 KISS FAMA, KISS
K226;Helicopter;2T/S;Light;F;I;KAMOV, Ka-226 Sergei KAMOV, Sergei
K250;Fixed-wing;1P/S;Light;F;I;KESTREL (1), K-250
K35E;Fixed-wing;4J/H;Heavy;C;III;BOEING, KC-135E Stratotanker BOEING, Stratotanker (TF33 engines)
;;;;;;BOEING, C-135FR Stratotanker
K35R;Fixed-wing;4J/H;Heavy;C;III;BOEING, KC-135R Stratotanker BOEING, KC-135T Stratotanker
;;;;;;BOEING, Stratotanker (CFM56 engines)
;;;;;;KOREA AEROSPACE, A-50 Golden Eagle
;;;;;;KOREA AEROSPACE, F/A-50 Golden Eagle
K50*;Fixed-wing;1J/S+;Medium;F;III;KOREA AEROSPACE, Golden Eagle
;;;;;;KOREA AEROSPACE, T/A-50 Golden Eagle
;;;;;;KOREA AEROSPACE, T-50 Golden Eagle
K51;Fixed-wing;1P/S;Light;F;I;KOVÁCS, K-51 Peregrino KOVÁCS, Peregrino
;;;;;;HONGDU, JL-8
;;;;;;HONGDU, K-8 Karakorum
K8*;Fixed-wing;1J/S;Light;F;III;HONGDU, Karakorum NANCHANG, JL-8 Karakorum
;;;;;;NANCHANG, K-8 Karakorum
;;;;;;NANCHANG, Karakorum
KA25;Helicopter;2T/S+;Medium;F;I;KAMOV, Ka-25
KA26;Helicopter;2P/S;Light;F;I;KAMOV, Ka-26
;;;;;;KAMOV, HH-32
;;;;;;KAMOV, Ka-252
;;;;;;KAMOV, Ka-27
KA27;Helicopter;2T/S+;Medium;F;I;KAMOV, Ka-28
;;;;;;KAMOV, Ka-29
;;;;;;KAMOV, Ka-31
;;;;;;KAMOV, Ka-32
;;;;;;KAMOV, Black Shark
;;;;;;KAMOV, Chernaya Akula
KA50;Helicopter;2T/S+;Medium;F;I;KAMOV, Ka-50 Black Shark KAMOV, Ka-50 Chernaya Akula
;;;;;;KAMOV, Ka-50 Werewolf
;;;;;;KAMOV, Werewolf
KA52;Helicopter;2T/S+;Medium;F;I;KAMOV, Alligator KAMOV, Ka-52 Alligator
;;;;;;KAMOV, Ka-60 Kasatka
KA62;Helicopter;2T/S+;Light;F;I;KAMOV, Ka-62
;;;;;;KAMOV, Kasatka
KAFI;Fixed-wing;1P/S;Light;F;I;KARI, Firefly
KAK1;Fixed-wing;1P/S;Light;F;I;KIEGER, AK-1
KAK3;Fixed-wing;1P/S;Light;F;I;JUNKERS PROFLY, Junka KIEGER, AK-3
KAT3;Fixed-wing;1T/S;Light;F;I;KHRUNICHEV, AT-3
KATB;Fixed-wing;2P/S;Light;F;II;KARI, Twinbee
KATR;Fixed-wing;1P/S;Light;F;I;AEROSAMARA, Katran
KC2;Fixed-wing;2J/L;Medium;D;III;KAWASAKI, C-2 KAWASAKI, XC-2
KC39;Fixed-wing;2J/L;Medium;D;III;EMBRAER, KC-390
KE3;Fixed-wing;4J/H;Heavy;C;III;BOEING, KE-3
KEHA;Fixed-wing;1P/S;Light;F;I;KESTREL (2), Float Hawk KESTREL (2), Sport Hawk
KELA;Fixed-wing;1P/S;Light;F;I;KELEHER, Lark
KELD;Fixed-wing;1P/S;Light;F;I;KELLY, D
KERO;Fixed-wing;1P/S;Light;F;I;REARWIN, 2000 Ken-Royce REARWIN, Ken-Royce
KEST;Fixed-wing;1T/S;Light;F;I;FARNBOROUGH, F-1 Kestrel FARNBOROUGH, Kestrel
KFAB;Fixed-wing;1P/S;Light;F;I;KITPLANES FOR AFRICA, Bushbaby KITPLANES FOR AFRICA, Explorer
KFAS;Fixed-wing;1P/S;Light;F;I;KITPLANES FOR AFRICA, Safari
KFIR*;Fixed-wing;1J/S+;Medium;F;III;IAI, Kfir
;;;;;;ANDERSON, EA-1 Kingfisher
KFIS;@Fixed-wing;1P/S;Light;F;I;ANDERSON, Kingfisher WARNER (1), Super Kingfisher
;;;;;;WARNER (1), W-1 Super Kingfisher
KH4;Helicopter;1P/S;Light;F;I;KAWASAKI, KH-4
;;;;;;PULSAR, Sport 150
KIS2;Fixed-wing;1P/S;Light;F;I;TRI-R, KIS TD
;;;;;;TRI-R, KIS TR-1
;;;;;;PULSAR, Super Cruiser
KIS4;Fixed-wing;1P/S;Light;F;I;TRI-R, Cruiser
;;;;;;TRI-R, KIS TR-4 Cruiser
KITI;Fixed-wing;1P/S;Light;F;I;MITCHELL-PROCTER, Kittiwake
KIWI;Fixed-wing;1P/S;Light;F;I;TWI, Kiwi VALENTIN, Kiwi
KK60;Fixed-wing;1P/S;Light;F;I;KARI-KEEN, 60 Coupe KARI-KEEN, Coupe
;;;;;;BOLKOW, BO-207
;;;;;;BOLKOW, F-207
KL07;Fixed-wing;1P/S;Light;F;I;BOLKOW, Kl-107
;;;;;;KLEMM, Kl-107
;;;;;;NABERN, Kl-107
KL25;Fixed-wing;1P/S;Light;F;I;KLEMM, L-25
KL35;Fixed-wing;1P/S;Light;F;I;KLEMM, Kl-35
KLBR;Fixed-wing;1P/S;Light;F;I;KOLB, King Colbra
KM2;Fixed-wing;1P/S;Light;F;I;FUJI, KM-2 FUJI, TL-1
KMAX;Helicopter;1T/S;Light;F;I;KAMAN, K-1200 K-Max KAMAN, K-Max
KNTW;Fixed-wing;1P/S;Light;F;I;PAYNE, Knight Twister PAYNE, Sunday Knight Twister
KODI;Fixed-wing;1T/S;Light;F;I;QUEST, Kodiak
KOLL;Fixed-wing;1P/S;Light;F;I;KOLB, Laser
;;;;;;JIHLAVAN, KP-2 Rapid 200
;;;;;;JIHLAVAN, KP-2 Skyleader 150
;;;;;;JIHLAVAN, KP-2 Skyleader 200
KP2;Fixed-wing;1P/S;Light;F;I;JIHLAVAN, Rapid 200 JIHLAVAN, Skyleader 150
;;;;;;JIHLAVAN, Skyleader 200
;;;;;;KAPPA, KP-2 Sova
;;;;;;KAPPA, Sova
;;;;;;JIHLAVAN, KP-5 Rapid 500
;;;;;;JIHLAVAN, KP-5 Skyleader 500
KP5;Fixed-wing;1P/S;Light;F;I;JIHLAVAN, KP-5 Skyleader 600 JIHLAVAN, Rapid 500
;;;;;;JIHLAVAN, Skyleader 500
;;;;;;JIHLAVAN, Skyleader 600
KR1;Fixed-wing;1P/S;Light;F;I;RAND, KR-1
KR2;Fixed-wing;1P/S;Light;F;I;RAND, KR-2
;;;;;;
KR21;Fixed-wing;1P/S;Light;F;I;
;;;;;;
KR30;Fixed-wing;1P/S;Light;F;I;
;;;;;;
KR31;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
KR34;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
KRAG;Fixed-wing;1P/S;Light;F;I;
;;;;;;
KRAH;Fixed-wing;1P/S;Light;F;I;
KRIC;Fixed-wing;1P/S;Light;F;I;
KSTK;Fixed-wing;2P/S;Light;F;II;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
KT1;Fixed-wing;1T/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
KTOO;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
KZ2;Fixed-wing;1P/S;Light;F;I;
;;;;;;
KZ3;Fixed-wing;1P/S;Light;F;I;
KZ4;Fixed-wing;2P/S;Light;F;II;
KZ7;Fixed-wing;1P/S;Light;F;I;
KZ8;Fixed-wing;1P/S;Light;F;I;
;;;;;;
L10;Fixed-wing;2P/S;Light;F;II;
;;;;;;
L101;Fixed-wing;3J/H;Heavy;C;III;9
;;;;;;
L11;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
L11E;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
L12;Fixed-wing;2P/S;Light;F;II;
;;;;;;
;;;;;;
L13;Fixed-wing;1P/S;Light;F;I;
;;;;;;
L13M;Fixed-wing;1P/S;Light;F;I;
;;;;;;
L13S;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
L14;Fixed-wing;2P/S+;Medium;F;III;
;;;;;;
L15*;Fixed-wing;2J/S+;Medium;F;III;
;;;;;;
L159*;Fixed-wing;1J/S+;Medium;F;III;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
L18;Fixed-wing;2P/L;Medium;E;III;8
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
L181;Fixed-wing;1P/S;Light;F;I;
L188;Fixed-wing;4T/L;Medium;D;III;7
L200;Fixed-wing;2P/S;Light;F;II;
L29*;Fixed-wing;1J/S;Light;F;III;
;;;;;;
L29A;Fixed-wing;4J/L;Medium;E;III;8
;;;;;;
;;;;;;
L29B;Fixed-wing;4J/L;Medium;E;III;9
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
L37;Fixed-wing;2P/S+;Medium;F;III;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
L380;Fixed-wing;1P/S;Light;F;I;
;;;;;;
L39*;Fixed-wing;1J/S;Light;F;III;
;;;;;;
;;;;;;
L4;@Fixed-wing;2P/S;Light;F;II;
;;;;;;
L40;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
L410;Fixed-wing;2T/S+;Light;F;III;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
L5;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
L59*;Fixed-wing;1J/S+;Light;F;III;
L6;@Fixed-wing;2P/S;Light;F;II;
;;;;;;
;;;;;;
L60;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
L610;Fixed-wing;2T/S+;Medium;F;III;
;;;;;;
L70;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
L8;Fixed-wing;1P/S;Light;F;I;3
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
L90;Fixed-wing;1T/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
LA25;@Fixed-wing;1P/S;Light;F;I;2
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
LA4;@Fixed-wing;1P/S;Light;F;I;2
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
LA60;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
LA6T;Fixed-wing;1T/S;Light;F;I;
LA8;@Fixed-wing;2P/S;Light;F;II;
LACO;Fixed-wing;1P/S;Light;F;I;
LAE1;Fixed-wing;1E/S;Light;F;I;
LAKR;Fixed-wing;1P/S;Light;F;I;
LAKX;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
LAMA;Helicopter;1T/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
LANC;Fixed-wing;4P/L;Medium;D;III;
LARK;Fixed-wing;1P/S;Light;F;I;1
LAST;Fixed-wing;1P/S;Light;F;I;
LBUG;Fixed-wing;1P/S;Light;F;I;
;;;;;;
LCA*;Fixed-wing;1J/S+;Medium;F;III;
;;;;;;
;;;;;;
LCB;Fixed-wing;1P/S;Light;F;I;
;;;;;;
LCH;Helicopter;2T/S;Light;F;I;
LCR;Fixed-wing;1P/S;Light;F;I;
LEG2;Fixed-wing;1P/S;Light;F;I;
LEGD;Fixed-wing;1P/S;Light;F;I;
LEOP;Fixed-wing;2J/S;Light;F;III;
LESP;Fixed-wing;1P/S;Light;F;I;
LEVI;Fixed-wing;1P/S;Light;F;I;
LGEZ;Fixed-wing;1P/S;Light;F;I;
LH10;Fixed-wing;1P/S;Light;F;I;
LIBE;Fixed-wing;1P/S;Light;F;I;
LION;Fixed-wing;1P/S;Light;F;I;
LJ23;Fixed-wing;2J/S;Light;F;III;8
LJ24;Fixed-wing;2J/S+;Light;F;III;7
LJ25;Fixed-wing;2J/S+;Light;F;III;9
LJ28;Fixed-wing;2J/S+;Light;F;III;7
LJ31;Fixed-wing;2J/S+;Medium;F;III;7
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
LJ35;Fixed-wing;2J/S+;Medium;F;III;9
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
LJ40;Fixed-wing;2J/S+;Medium;F;III;6
LJ45;Fixed-wing;2J/S+;Medium;F;III;6
;;;;;;
LJ55;Fixed-wing;2J/S+;Medium;F;III;8
;;;;;;
LJ60;Fixed-wing;2J/S+;Medium;F;III;10
LJ70;Fixed-wing;2J/S+;Medium;F;III;
LJ75;Fixed-wing;2J/S+;Medium;F;III;
LJ85;Fixed-wing;2J/S+;Medium;F;III;
LK17;Fixed-wing;1P/S;Light;F;I;
LK19;Fixed-wing;1P/S;Light;F;I;
LK20;Fixed-wing;1P/S;Light;F;I;LAK, LAK-20M SPORTINE AVIACIJA, LAK-20M
LM5;Fixed-wing;1P/S;Light;F;I;LOMBARDI, Aviastar LOMBARDI, LM-5 Aviastar
LM5X;Fixed-wing;1P/S;Light;F;I;LIGHT MINIATURE, LM-5 Super Cub LIGHT MINIATURE, Super Cub
LM7;Fixed-wing;1P/S;Light;F;I;LOMBARDI, LM-7
LMK1;Fixed-wing;1P/S;Light;F;I;CATA, LMK-1 Oryx CATA, Oryx
LN27;Fixed-wing;1P/S;Light;F;I;FALCOMPOSITE, Furio FALCOMPOSITE, LN-27 Furio
LN3;@Fixed-wing;1P/S;Light;F;I;FLYGFABRIKEN, LN-3 Seagull  FLYGFABRIKEN, Seagull
;;;;;;LANCAIR, Lancair 200
;;;;;;LANCAIR, Lancair 235
;;;;;;LANCAIR, Lancair 320
;;;;;;LANCAIR, Lancair 360
LNC2;Fixed-wing;1P/S;Light;F;I;NEICO, Lancair 200
;;;;;;NEICO, Lancair 235
;;;;;;NEICO, Lancair 320
;;;;;;NEICO, Lancair 360
;;;;;;PAI, Lancair 320
;;;;;;LANCAIR, Lancair 4
LNC4;Fixed-wing;1P/S;Light;F;I;NEICO, Lancair 4 PADC, Lancair 4
;;;;;;PAI, Lancair 4
;;;;;;LANCAIR, Lancair ES
LNCE;Fixed-wing;1P/S;Light;F;I;LANCAIR, Lancair Super ES PADC, Lancair ES
;;;;;;PAI, Lancair ES
LNP4;Fixed-wing;1T/S;Light;F;I;LANCAIR, Lancair PropJet 4
LNT4;Fixed-wing;1T/S;Light;F;I;LANCAIR, Sentry 4T
LOCA;Fixed-wing;1P/S;Light;F;I;AEROLAB, LoCamp
LOVE;Fixed-wing;1P/S;Light;F;I;LOVING-WAYNE, Love LOVING-WAYNE, WR-1 Love
LP1;Fixed-wing;1P/S;Light;F;I;LOPRESTI, Fury LOPRESTI, LP-1 Fury
LR2T;Helicopter;1T/S;Light;F;I;LOAD RANGER, 2000
LS10;Fixed-wing;1P/S;Light;F;I;DG FLUGZEUGBAU, LS-10ST
LS2;Fixed-wing;1P/S;Light;F;I;HAT, LS-2
LS8;Fixed-wing;1P/S;Light;F;I;DG FLUGZEUGBAU, LS-8ST ROLLADEN-SCHNEIDER, LS-8T
LS9;Fixed-wing;1P/S;Light;F;I;ROLLADEN-SCHNEIDER, LS-9
LSTR;Fixed-wing;1P/S;Light;F;I;CUSTOM FLIGHT, Lite Star
LTNG*;Fixed-wing;2J/L;Medium;E;III;BAC, Lightning ENGLISH ELECTRIC, Lightning
LUL5;Fixed-wing;1P/S;Light;F;I;LUCAS, L-5
LUL6;Fixed-wing;1P/S;Light;F;I;LUCAS, L-6
LUL7;Fixed-wing;1P/S;Light;F;I;LUCAS, L-7
LUL8;Fixed-wing;1P/S;Light;F;I;LUCAS, L-8
;;;;;;LAVIASA, LAV-51 Master
LV51;Fixed-wing;1P/S;Light;F;I;LAVIASA, LAV-51 Super Master LAVIASA, Master
;;;;;;LAVIASA, Super Master
LW20;Fixed-wing;1P/S;Light;F;I;HOWARD HUGHES, Australian LightWing Speed SP-2000
LW40;Fixed-wing;1P/S;Light;F;I;HOWARD HUGHES, Australian LightWing Speed SP-4000
;;;;;;HOWARD HUGHES, Austalian LightWing Sport 2000
LWIN;Fixed-wing;1P/S;Light;F;I;HOWARD HUGHES, Australian LightWing GA-912 HOWARD HUGHES, Australian LightWing GR-582
;;;;;;HOWARD HUGHES, Australian LightWing GR-912
;;;;;;
;;;;;;
LX32;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
LX34;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
LYNX;Helicopter;2T/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
LYSA;Fixed-wing;1P/S;Light;F;I;
;;;;;;
M10;Fixed-wing;1P/S;Light;F;I;1
;;;;;;
;;;;;;
;;;;;;
M101;Fixed-wing;1T/S;Light;F;I;
;;;;;;
;;;;;;
M106;Fixed-wing;1P/S;Light;F;I;
M108;Fixed-wing;1P/S;Light;F;I;
M10F;Fixed-wing;1P/S;Light;F;I;
M10R;Fixed-wing;1P/S;Light;F;I;
;;;;;;
M110;Fixed-wing;1P/S;Light;F;I;
;;;;;;
M15;Fixed-wing;1J/S;Light;F;III;
M17*;Fixed-wing;1J/L;Medium;D;III;
;;;;;;
M18;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
M18T;Fixed-wing;1T/S;Light;F;I;
;;;;;;
M1SC;Fixed-wing;1P/S;Light;F;I;
M2;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
M200;Fixed-wing;1P/S;Light;F;I;1
;;;;;;
;;;;;;
M203;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
